"full_address","neighborhoods_analysis_boundaries","permit_type_definition","description","existing_use","proposed_use","permit_creation_date","location.latitude","location.longitude"
"3459 Mission St 94110","Bernal Heights","additions alterations or repairs","comply with n.o.v #201933911. legalize 2 residential units at rear of building. 1st fl, one bedroom, one bath and kitchen. 2nd fl, two bedroom, one bathrm and kitchen.","1 family dwelling","apartments",2019-06-10,"37.741321513151135","-122.42206491882065"
"3459 Mission St 94110","Bernal Heights","additions alterations or repairs","comply with n.o.v #201933911. legalize 2 residential units at rear of building. 1st fl, one bedroom, one bath and kitchen. 2nd fl, two bedroom, one bathrm and kitchen.","1 family dwelling","apartments",2019-06-10,"37.741321513151135","-122.42206491882065"
"345 26th Av 94121","Outer Richmond","additions alterations or repairs","per unit legalizeordinance 43-14. (1) ground floor dwelling unit.change of occupancy from r-3 to r-2","2 family dwelling","apartments",2017-05-25,"37.78290340170788","-122.4863418576764"
"120 Holloway Av 94112","Oceanview/Merced/Ingleside","additions alterations or repairs","legalize of dwelling unit installed without a permit. under ord #43-14.","2 family dwelling","apartments",2015-05-12,"37.72207016562058","-122.45452788004297"
"3332 16th St 94114","Castro/Upper Market","additions alterations or repairs","legalize unpermitted roof deck and rebuild damages stair pent and upper stair run due to fire damage in kind on stairs.","apartments","apartments",2015-11-25,"37.764817036478405","-122.42714185569051"
"1658 Newcomb Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize ground floor kitch to add (1)(n) residential unit under unit legalization program. remove 2nd, 3rd floor's illegal kitchens per plan. comply nov #201569121, nov #201569684, nov #201567912","apartments","apartments",2015-11-10,"37.736099549383944","-122.39077961205004"
"333 Randolph St 94132","Oceanview/Merced/Ingleside","otc alterations permit","to comply with notice of violation #201462461. remove illegal unit and revert back to commercial. no structural work done.","apartments","apartments",2015-10-06,"37.71406492553568","-122.46574657634207"
"4018 19th St 94114","Castro/Upper Market","additions alterations or repairs","legalize illegal unit has existed for more than 50 years per ord 43-14.","apartments","apartments",2016-04-01,"37.7596791280261","-122.4331663392805"
"1151 Broderick St 94115","Western Addition","otc alterations permit","for 12 windows previously installed by others at rear of bldg.  aluminum double hung, double glazed installed units - per cc report #7879. to legalize-not visible from street.","apartments","apartments",2015-11-13,"37.78100484351523","-122.44101794157186"
"620 Eddy St 94109","Tenderloin","additions alterations or repairs","(unit legalization ordinance 43-14) reconfiguration of existing partitions & legalize one dwelling unit (efficiency) to comply with nov 201566672 dated 08-27-15; maher n/a","apartments","apartments",2015-11-09,"37.7835060196071","-122.41808025881474"
