"full_address","neighborhoods_analysis_boundaries","permit_type_definition","description","existing_use","proposed_use","permit_creation_date","location.latitude","location.longitude"
"2129 15th Av 94116","West of Twin Peaks","otc alterations permit","renovate kitchen and master bath at 2nd fl, legalize deck. renovate mud room/bathroom at ground floor. paint exterior.","1 family dwelling","1 family dwelling",2013-06-03,"37.748176290183665","-122.47205777842571"
"3459 Mission St 94110","Bernal Heights","additions alterations or repairs","comply with n.o.v #201933911. legalize 2 residential units at rear of building. 1st fl, one bedroom, one bath and kitchen. 2nd fl, two bedroom, one bathrm and kitchen.","1 family dwelling","apartments",2019-06-10,"37.741321513151135","-122.42206491882065"
"3459 Mission St 94110","Bernal Heights","additions alterations or repairs","comply with n.o.v #201933911. legalize 2 residential units at rear of building. 1st fl, one bedroom, one bath and kitchen. 2nd fl, two bedroom, one bathrm and kitchen.","1 family dwelling","apartments",2019-06-10,"37.741321513151135","-122.42206491882065"
"79 Cassandra Ct 94112","Excelsior","otc alterations permit","comply with complaint 201480531 by removing illegal room as per plan and convert other rooms as storagees, legalize the shower","1 family dwelling","1 family dwelling",2014-07-07,"37.70908035846772","-122.44923382569242"
"85 Pope St 94112","Excelsior","additions alterations or repairs","legalize 1st fl dwelling unit per ordinance #43-14. unit renovation add a bedroom, a full bath, kitchen renovate","1 family dwelling","2 family dwelling",2019-08-27,"37.71428564848642","-122.44082115425904"
"2426 40th Av 94116","Sunset/Parkside","otc alterations permit","legalize 1 bedroom and 1 bathroom","1 family dwelling","1 family dwelling",2019-08-27,"37.74151472276542","-122.49782261909807"
"379 Lisbon St 94112","Excelsior","additions alterations or repairs","revise app#201406198871 to legalize dwelling unit installed without permit under ordinance no 43-14","1 family dwelling","2 family dwelling",2014-08-19,"37.72221531120416","-122.43310048003482"
"1535 33rd Av 94122","Sunset/Parkside","otc alterations permit","interior alterations:  1st floor add bedroom and legalize existing family room and full bathroom. 2nd floor - add bath, remodel ktichen, remove (infill) (e) lightwell  @ norht side, remodel (e) bath; replace (e) interior stair.","1 family dwelling","1 family dwelling",2015-11-16,"37.758463190599976","-122.4921462034884"
"1678 33rd Av 94122","Sunset/Parkside","otc alterations permit","voulntary to remove illegal unit at 1st floor and revert the space to last legal use.","1 family dwelling","1 family dwelling",2015-09-25,"37.75588057931574","-122.49130421940994"
"608 Excelsior Av 94112","Excelsior","otc alterations permit","work to comply with nov 201459441; no structural work, restore stair to (e) width, remove gas range, wet bar & cap lines at grnd floor, legalize ground floor rooms to include 2 new bedrooms, 1 storage room & 1 full bathroom + 1 hallway","1 family dwelling","1 family dwelling",2014-08-21,"37.7237002719313","-122.42875659227744"
