"full_address","neighborhoods_analysis_boundaries","permit_type_definition","description","existing_use","proposed_use","permit_creation_date","location.latitude","location.longitude"
"767 18th Av 94121","Outer Richmond","otc alterations permit","revise proposed construction to leave toilet and sink in same location and not add a laundry sink  or closet. to comply with nov 201272422. revision to app#201212055539 to remove illegal unit behind garage.","2 family dwelling","2 family dwelling",2013-05-17,"37.773525535189975","-122.47706536696997"
"345 26th Av 94121","Outer Richmond","additions alterations or repairs","per unit legalizeordinance 43-14. (1) ground floor dwelling unit.change of occupancy from r-3 to r-2","2 family dwelling","apartments",2017-05-25,"37.78290340170788","-122.4863418576764"
"120 Holloway Av 94112","Oceanview/Merced/Ingleside","additions alterations or repairs","legalize of dwelling unit installed without a permit. under ord #43-14.","2 family dwelling","apartments",2015-05-12,"37.72207016562058","-122.45452788004297"
"85 Pope St 94112","Excelsior","additions alterations or repairs","legalize 1st fl dwelling unit per ordinance #43-14. unit renovation add a bedroom, a full bath, kitchen renovate","1 family dwelling","2 family dwelling",2019-08-27,"37.71428564848642","-122.44082115425904"
"341 Richland Av 94110","Bernal Heights","otc alterations permit","comply with nov 201964091. legalize change on a portion of the front facade from stucco to horizontal weood siding and inkind sliding windows","2 family dwelling","2 family dwelling",2019-08-27,"37.73592335094196","-122.41870683062992"
"379 Lisbon St 94112","Excelsior","additions alterations or repairs","revise app#201406198871 to legalize dwelling unit installed without permit under ordinance no 43-14","1 family dwelling","2 family dwelling",2014-08-19,"37.72221531120416","-122.43310048003482"
"463 Sunrise Wy 94134","Visitacion Valley","additions alterations or repairs","legalize as-built unit (#1) on 1st floor per plan. (2) bedrooms, (1) bathroom, kitchen.","1 family dwelling","2 family dwelling",2015-11-12,"37.7097679703253","-122.41700424851012"
"825 Lake St 94118","Inner Richmond","additions alterations or repairs","legalize & rebuild existing 47 sq ft deck at 2nd fl rear yard, add fire-rated parapet guardwall at property line, fill-in below existing 2nd floor deck to create 47 sq ft of harbitable space for the lower unit. fire sprinkler under separate permit.","2 family dwelling","2 family dwelling",2016-02-29,"37.78626099843627","-122.46837806308525"
"88 Sylvan Dr 94132","Sunset/Parkside","additions alterations or repairs","install cooking facilities and new full bathroom to the (e) habitable area on ground floor to legalize for a in-law unit under ordinance 43-14","1 family dwelling","2 family dwelling",2016-04-22,"37.73259737588452","-122.48514839383195"
"137 Girard St 94134","Portola","additions alterations or repairs","unit legalization ord 43-14. comply with complaint #2014181911 & 201472031 - legalize kitchen on ground floor per plan #137 girard street","2 family dwelling","2 family dwelling",2016-09-21,"37.730544139959854","-122.40558234970075"
"1451 18th Av 94122","Inner Sunset","additions alterations or repairs","legalize existing residential unit installed behind garage without permit per ordinance 43-14. 146-15","2 family dwelling","apartments",2015-10-16,"37.76076710623477","-122.47618795555842"
"1453 18th Av 94122","Inner Sunset","additions alterations or repairs","legalize existing residential unit installed behind garage without permit per ordinance 43-14. 146-15","2 family dwelling","apartments",2015-10-16,"37.76076710623477","-122.47618795555842"
"1187 Palou Av 94124","Bayview Hunters Point","additions alterations or repairs","legalize 2/f floor 1 residential unit.  comply with nov #201569102, nov #201569673, nov #201567632.","1 family dwelling","2 family dwelling",2015-11-10,"37.72938577600435","-122.38334664669239"
"16 Beaver St 94114","Castro/Upper Market","otc alterations permit","legalize upstairs windows (4) and replace 3 downstairs windows (3) to match upstairs, wood with ogee lugs.","2 family dwelling","2 family dwelling",2016-11-16,"37.765260880453894","-122.43385236689274"
"2680 Lombard St 94123","Marina","additions alterations or repairs","fire separation, new gypboard finish, hvac, new water heater, new exhaust fans, sprinkler system. to comply with nov 20164835 to legalize third dwelling unit","2 family dwelling","apartments",2017-04-17,"37.79883277627231","-122.44564180299103"
"1932 Balboa St 94121","Outer Richmond","additions alterations or repairs","comply with complaint 201769152, tear down wall in middle of staircase blocking passage from master bedroom to upstairs area. legalize wet bar and door to garage","2 family dwelling","2 family dwelling",2017-05-08,"37.77676301872249","-122.47974370879795"
"3136 Anza St 94121","Outer Richmond","additions alterations or repairs","per unit legalization ordinance 43-14, legalization of unit installed without permit, legalize kitchen, one bed rm & one bath rm. all work at ground floor.(no.3136 anza street on ground floor)","1 family dwelling","2 family dwelling",2016-12-02,"37.77852617578955","-122.48212111697089"
"5789 Mission St 94112","Excelsior","otc alterations permit","revision to pa 201506260019: remove illegal kitchen on ground floor,cap plumb/elec to comply with nov 201415941:legalize as built flr plan to include playroom, study room, storage room and full bath. as built is different than original building plans pa# 911277s","2 family dwelling","2 family dwelling",2015-10-21,"37.7094287365222","-122.45007852184156"
"1136 Hampshire St 94110","Mission","additions alterations or repairs","comply with nov# 201577881 & 201581851, legalize basement unit. restore fire damaged residence; new baths & toilet, new kitchen, new roof, re-wire portion of electrical, re-plumbing portion of (e) & (n) baths & toilet. legalize basement improvements. expanding over porch; grid. horizontal addition.","1 family dwelling","2 family dwelling",2015-12-24,"37.75386757109278","-122.40766082826684"
"4624 Irving St 94122","Sunset/Parkside","otc alterations permit","to comply with complaint 201829032 - legalize partition @ 2nd and 3rd floors built without a permit. legalize 2nd floor bathroom","2 family dwelling","2 family dwelling",2018-04-03,"37.76246079510815","-122.50768058207787"
"355 Tocoloma Av 94134","Bayview Hunters Point","additions alterations or repairs","legalize a 2nd dwelling unit at the 1st flr of an (e) single family dwelling per ordinance 43-14. the bedroom, entertainment, kitchen, dining, living, bathroom and (2) storages to be legalized per plan.","1 family dwelling","2 family dwelling",2017-01-06,"37.71058947757637","-122.39822315478692"
"2039 43rd Av 94116","Sunset/Parkside","additions alterations or repairs","comply with nov# 201626091. legalize (e) kitchen & make it as a secondary unit @ ground fl per legalization ordidance 43-14. change (e) storage room to be home office & remodel (e) bath room at ground floor.","1 family dwelling","2 family dwelling",2016-09-02,"37.74859889746185","-122.50220321578506"
"4341 Ulloa St 94116","Sunset/Parkside","additions alterations or repairs","legalize (e) kitchen in (e) in law unit built with permit #2004-1012-6514 on 1st flr. per ordinance no 43-14 and dbi info sheet no g-17.","1 family dwelling","2 family dwelling",2016-11-21,"37.739761462235464","-122.50304135530101"
"2937 Pierce St 94123","Marina","additions alterations or repairs","to comply with nov#200876836. legalize dwelling unit merger 2 units to 1 unit.remove wll separting units. remove lower floor shower. remove kitchen upstairs.","2 family dwelling","1 family dwelling",2013-05-15,"37.79726671065333","-122.43921652240911"
"1361 Francisco St 94123","Marina","otc alterations permit","to comply w/nov #201696282 - convert storage into habitable room. legalize existing bathroom with shower, wet bar & (e) bedroom. add wall heater  @ ground floor. ground floor belongs to #1361 unit.","2 family dwelling","2 family dwelling",2016-03-21,"37.80259515932845","-122.42752391195023"
"649 Francisco St 94133","Russian Hill","additions alterations or repairs","comply w/ bid nov#2018-61363. legalize one dwelling unit on 3rd floor in existing three story building. remove rear stairs and construct railing. **maher n/a**","1 family dwelling","2 family dwelling",2018-07-26,"37.80418168781597","-122.41610943421279"
"2881 San Bruno Av 94134","Portola","additions alterations or repairs","comply enf#2017008719-00,02,03&04enf,dbi novs,legalize 3 unit,provide 2nd egress for 4th fl units by install permanent hot dipped galvanized steell fire escape stairs,interior adjustment of approved pa#201209270765 to accomondate 5 unit,facade modify to match as built conditions per zoning adminitor","2 family dwelling","apartments",2019-05-29,"37.725542277833426","-122.40244864090322"
"274 Victoria St 94132","Oceanview/Merced/Ingleside","additions alterations or repairs","comply with nov 201625382 permit for furnace/water heater. legalize(e)unit (unit b) on grd floor with 1 bedroom, 1 full bath, kitchen & living room per plan. add deck at rear of building for unit a access to rear yard (open common space) per plan. unit legalization ord 43-14.","1 family dwelling","2 family dwelling",2016-08-29,"37.71566908950004","-122.46503924884911"
"157 Beaver St 94114","Castro/Upper Market","otc alterations permit","unit 157 - legalize one window replacement. #8 cc8369, replace the vinyl window back to a wood window to original.","2 family dwelling","2 family dwelling",2019-06-05,"37.76493937155689","-122.43681293276624"
"155 Beaver St 94114","Castro/Upper Market","otc alterations permit","unit 157 - legalize one window replacement. #8 cc8369, replace the vinyl window back to a wood window to original.","2 family dwelling","2 family dwelling",2019-06-05,"37.76493937155689","-122.43681293276624"
"40 Sycamore St 94110","Mission","otc alterations permit","to comply with nov 201553231 & 201563761: remove illegal microwaves, hot plates and refridgerator from storage area and revert back to storage only.  repair exterioir stairs, repair locks and damaged sheetrock, all less than 50%. add drainline & pan under w/h","2 family dwelling","2 family dwelling",2015-10-08,"37.76284161859517","-122.42035454003408"
"4542 Cabrillo St 94121","Outer Richmond","additions alterations or repairs","proposed to legalized dwelling unit at 1st fl comply with ordinance 43-14","2 family dwelling","apartments",2018-03-08,"37.77356367605139","-122.50760379462808"
"658 Elizabeth St 94114","Noe Valley","additions alterations or repairs","legalize accessory dwelling unit under ordinance 43-14. automatic sprinkler system at ground floor to be provided under separate permit.","2 family dwelling","apartments",2015-12-18,"37.752257569031904","-122.43551958808095"
"2160 22nd Av 94116","Sunset/Parkside","additions alterations or repairs","legalize 2 bedrooms, 1 study room, 1 family room, 1 full & half bathroom, cooking area on the ground floor behind the (e) garage per ordinance no# 43-14.","1 family dwelling","2 family dwelling",2015-04-10,"37.74741677445647","-122.47889123631235"
"712 Delta St 94134","Visitacion Valley","additions alterations or repairs","unit legalization per ordinance 43-14. no exterior work. legalize existing ground fl dwelling unit @ rear for a total of (3) dwelling units. provide bldg, fire, mech, electrical and plumbing. upgrades as required for legalization","2 family dwelling","apartments",2019-04-01,"37.71171802975145","-122.4101482803132"
"274 Silver Av 94112","Outer Mission","additions alterations or repairs","to legalize in-law dwelling unit under ordinance no# 43-14. legalize kitchen with counter, cabinet, wet sink & stove.","1 family dwelling","2 family dwelling",2015-10-27,"37.72890063223016","-122.43203775461205"
"2310 Alemany Bl 94112","Outer Mission","additions alterations or repairs","legalize basement adu. stairs leading to main residence in backyard will be replaced w/ (n) stairs. ordinance #43-14","1 family dwelling","2 family dwelling",2019-07-11,"37.716970410360524","-122.44384050722431"
"1029 Page St 94117","Haight Ashbury","otc alterations permit","to legalize & improve (e)apartment on ground floor of (e)residence, improved apartment to provide 2 br,2bath,&laundry.modifications incl: fnd replacement & 1' of excavation,elec & plmbg upgrades,hvac,& strctl strengthening.alter include (n)windows & doors in grnd level apt.removal of brick fireplace","1 family dwelling","2 family dwelling",2015-01-27,"37.77192492538364","-122.43776868095732"
"1461 Thomas Av 94124","Bayview Hunters Point","otc alterations permit","legalize 1 bathroom, remodel 2 kitchens, 3 bathrooms, repair siding, stucco, roof, drywall in-kind. paint interior & exterior.","2 family dwelling","2 family dwelling",2015-12-28,"37.728720398208836","-122.38883741453685"
"2337 Taraval St 94116","Sunset/Parkside","additions alterations or repairs","rear bldg: legalize ground floor unit per ordinance 43-14. convert (e) garage to conditioned area (144 sq ft). interior remodel & addition on 2nd & 3rd floor under separate permit.","1 family dwelling","2 family dwelling",2019-07-30,"37.74211206611258","-122.49138775636641"
"943 Steiner St 94117","Western Addition","otc alterations permit","kitchen remodel and create new laundry room. legalize full bath at ground floor.","2 family dwelling","2 family dwelling",2015-05-11,"37.77803070949901","-122.43363037217321"
"1182 Fitzgerald Av 94124","Bayview Hunters Point","additions alterations or repairs","to legalize ground flr unit per ordinance 43-14 to add 2nd unit @ the ground flr (ground flr area is fully permitted per permit #2017-1102-3003.","1 family dwelling","2 family dwelling",2018-10-31,"37.72099093587903","-122.39079758406417"
